Stot,Ntot,n_s,beta,mu_glob,V_offset,s2_s,s2_r,sigma2_s,sigma2_r,varsigma
4.4,65,0.42,,,,,,,,
4.4,66,0.42,,,,,,,,
4.4,67,0.42,,,,,,,,
4.4,68,0.42,,,,,,,,
4.4,69,0.42,36.84996250221834,0.0664727962485258,0.3771590505929825,0.00841793427294626,0.07958206572705366,1.0021350324936078,4.144899256617381,-0.6105971026407522
4.4,70,0.42,11.75610847734846,0.27389200298184213,0.6412449052427075,0.048040377730979314,0.039959622269020605,5.719092587021352,2.0387562382153392,0.47440165846409443
4.6,21,0.42,,,,,,,,
4.6,22,0.42,10.319057526725963,-4.0179135145770895,-3.630930973674454,0.05681686756824432,0.035183132431755575,6.763912805743378,87.95783107938944,-0.8571835245359115
4.6,23,0.42,11.888492579342351,-3.8985756293305887,-3.532745717783357,0.04733821961521675,0.04466178038478313,5.635502335144856,55.8272254809791,-0.8166204939030886
4.6,24,0.42,11.415857375393212,-3.799404936564812,-3.427935360233147,0.0499193697539942,0.04208063024600566,5.942782113570743,35.06719187167151,-0.7101786938119348
4.6,25,0.42,10.691513880233122,-3.6854618396965244,-3.304165682451541,0.05431810979881321,0.03768189020118663,6.466441642715867,23.551181375741713,-0.5691569823007167
4.6,26,0.42,10.09126272123771,-3.5504998035380737,-3.1598636140647476,0.058420815847378314,0.03357918415262161,6.9548590294498025,16.78959207631083,-0.41419079359029803
4.6,27,0.42,9.65350009975708,-3.3929811229244007,-2.994708614774563,0.06171974899028571,0.030280251009714213,7.3475891655102075,12.61677125404761,-0.2639294211186209
4.6,28,0.42,9.34597197363603,-3.2139760054026545,-2.8098841657951334,0.06420621273354876,0.027793787266451177,7.643596753993899,9.926352595161156,-0.1299238714809975
4.6,29,0.42,9.130713144249247,-3.0160663282545928,-2.6076976287533493,0.06602812919628345,0.02597187080371643,7.860491570986132,8.116209626161401,-0.016005685530435108
4.6,30,0.42,8.981452180941188,-2.8025250841305027,-2.3910559910899702,0.06733905316206994,0.024660946837929996,8.016553947865471,6.85026301053612,0.07844926998110731
4.6,31,0.42,8.881783866269382,-2.5768561270861925,-2.1632331715770645,0.06824104050181944,0.023758959498180424,8.123933393073745,5.939739874545131,0.1553074703148604
4.6,32,0.42,8.82141662888318,-2.342673928475942,-1.92773183916517,0.06879421824255466,0.02320578175744525,8.189787886018413,5.274041308510297,0.216561465195428
4.6,33,0.42,8.795634041209539,-2.10367479517476,-1.688168000097831,0.06903109819159463,0.022968901808405284,8.217987879951743,4.785187876751115,0.26399704713912625
4.6,34,0.42,8.802754542182747,-1.8636129750468484,-1.448263085239621,0.0689652290657319,0.023034770934268003,8.210146317349036,4.429763641205403,0.2990830384503764
4.6,35,0.42,8.843497847530216,-1.6262623381356114,-1.211802763565616,0.0685918760587356,0.02340812394126432,8.165699530801858,4.180022132368638,0.32283875395662054
4.6,36,0.42,8.920514554213192,-1.3953722105536057,-0.9825895283435827,0.06788898314250379,0.024111016857496132,8.082021802679026,4.018502809582696,0.33581345630078546
4.6,37,0.42,9.04144043477859,-1.174653677778332,-0.7644475655588606,0.06680697595550386,0.025193024044496026,7.953211423274274,3.9364100069525136,0.33784098508888705
4.6,38,0.42,9.223591612579156,-0.9679007135330085,-0.5613934756905463,0.06523436276925063,0.02676563723074931,7.765995567767936,3.936123122169018,0.32728025984665104
4.6,39,0.42,9.507086784338384,-0.779426045353341,-0.37845418066692715,0.06288028264348824,0.029119717356511688,7.485747933748608,4.0444051884044026,0.29846461784903067
4.6,40,0.42,9.987798150501684,-0.6142150425935954,-0.2218157901079457,0.05918077391015382,0.03281922608984602,7.045330227399271,4.318319222348172,0.23997669209267164
4.6,41,0.42,10.811413475866425,-0.47570459482077637,-0.09615426804710407,0.05354752822421414,0.03845247177578571,6.374705740977879,4.806558971973226,0.14024770983091828
4.6,42,0.42,12.148549032468928,-0.3629283352286847,-9.1512854653528e-16,0.04600000000000006,0.04599999999999986,5.476190476190485,5.4761904761904665,1.702985578642414e-15
4.6,43,0.42,14.213170294497633,-0.27195478087397373,0.07269652662652538,0.03715893274422305,0.05484106725577693,4.423682469550363,6.231939460883745,-0.16969980758877334
4.6,44,0.42,17.417783917210347,-0.19844858247523858,0.12942200277076102,0.027826392932507032,0.06417360706749295,3.312665825298456,6.975392072553583,-0.35601726619557983
4.6,45,0.42,22.54186988742541,-0.1392488406517054,0.1771704995795757,0.01910400239363369,0.07289599760636625,2.2742859992421085,7.593333083996489,-0.5390405770516068
4.6,46,0.42,30.973361412893034,-0.09290586322153509,0.218623330773454,0.01162950686127428,0.08037049313872559,1.3844651025326602,8.037049313872565,-0.7061056128891638
4.6,47,0.42,46.62595197564103,-0.05682715554766767,0.2534120732462639,0.004901718741625229,0.08709828125837467,0.5835379454315799,8.374834736382189,-0.8697223332500533
4.6,48,0.42,86.6946253164412,-0.028487210859408654,0.28156739116292184,0.0004896790550385509,0.09151032094496132,0.058295125599833,8.473177865274206,-0.9863341006501009
4.6,49,0.42,,,,,,,,
4.6,50,0.42,,,,,,,,
4.6,51,0.42,,,,,,,,
4.6,52,0.42,,,,,,,,
4.6,53,0.42,,,,,,,,
4.6,54,0.42,,,,,,,,
4.6,55,0.42,,,,,,,,
4.6,56,0.42,,,,,,,,
4.6,57,0.42,,,,,,,,
4.6,58,0.42,,,,,,,,
4.6,59,0.42,,,,,,,,
4.6,60,0.42,,,,,,,,
4.6,61,0.42,,,,,,,,
4.6,62,0.42,,,,,,,,
4.6,63,0.42,,,,,,,,
4.6,64,0.42,,,,,,,,
4.6,65,0.42,,,,,,,,
4.6,66,0.42,,,,,,,,
4.6,67,0.42,,,,,,,,
4.6,68,0.42,,,,,,,,
4.6,69,0.42,29.840977116771267,0.08207489782032588,0.393890914693468,0.012386446106672123,0.07961355389332776,1.4745769174609742,4.14653926527749,-0.4753437326240789
4.6,70,0.42,11.056054543358181,0.2914617612856365,0.6676576898087474,0.052039847963753265,0.039960152036246616,6.19521999568492,2.0387832671554427,0.504789298212604
4.8,21,0.42,,,,,,,,
4.8,22,0.42,9.805744418171564,-4.023506676931533,-3.6279442043703467,0.06054671690683623,0.03545328309316369,7.20794248890908,88.6332077329097,-0.8495856430723814
4.8,23,0.42,11.363883963544644,-3.899388843588681,-3.527251026584692,0.0502189533703199,0.04578104662967999,5.978446829799994,57.22630828710015,-0.8108228781602721
4.8,24,0.42,10.970986837810182,-3.79874239061146,-3.421393232912445,0.05255789604899449,0.04344210395100536,6.256892386785063,36.201753292504605,-0.7052712216001262
4.8,25,0.42,10.299670352017468,-3.6842551122781795,-3.2969700382501967,0.056950024548534414,0.039049975451465505,6.7797648272064865,24.40623465716597,-0.5652045828703435
4.8,26,0.42,9.729980550681645,-3.5492201764095017,-3.152315460446694,0.061127420912721636,0.03487257908727825,7.277073918181155,17.436289543639163,-0.4110818683645786
4.8,27,0.42,9.307984533276082,-3.3918907988493587,-2.987055602711565,0.06452232674018163,0.031477673259818324,7.681229373831144,13.115697191590993,-0.2613111029009175
4.8,28,0.42,9.009007330437901,-3.213144842057546,-2.802263183968461,0.06709240064450657,0.028907599355493308,7.987190552917451,10.32414262696193,-0.127623262112468
4.8,29,0.42,8.800873438849816,-3.0154727596132607,-2.600081764280945,0.06898246663592486,0.027017533364075027,8.212198409038674,8.44297917627348,-0.013856397871033642
4.8,30,0.42,8.655973666459296,-2.802116256524952,-2.383502324197581,0.07033711277478066,0.025662887225219273,8.373465806521507,7.128579784783151,0.08030462911531058
4.8,31,0.42,8.559021609409347,-2.5765926146264544,-2.15575225962915,0.07126669934064733,0.024733300659352586,8.48413087388659,6.18332516483816,0.1568646739403128
4.8,32,0.42,8.500598448021783,-2.342533095923922,-1.9203105912618303,0.07183782285105109,0.024162177148948815,8.552121767982278,5.491403897488379,0.21794511886850473
4.8,33,0.42,8.476023412148152,-2.1036444738785067,-1.6808315161905425,0.07208196825256617,0.023918031747433746,8.581186696734074,4.982923280715371,0.26527825430499125
4.8,34,0.42,8.4828636072152,-1.8636912607491123,-1.441042712260385,0.07201398586879866,0.02398601413120123,8.57309355580937,4.612695025231013,0.30035355915481193
4.8,35,0.42,8.521978889232503,-1.6264568371711008,-1.2047401416598758,0.07162881545829389,0.024371184541706004,8.527239935511183,4.351997239590369,0.3241840055552741
4.8,36,0.42,8.596330948140473,-1.395706852848829,-0.9757491459108892,0.07090197685728823,0.025098023142711732,8.44071153062955,4.183003857118626,0.33727849073999244
4.8,37,0.42,8.715016886894755,-1.1751908508583389,-0.7578982467386767,0.06978128725495916,0.02621871274504079,8.307296101780853,4.096673866412626,0.3394576289821076
4.8,38,0.42,8.893870766658091,-0.9688093364328169,-0.5554505016545722,0.06813028167734743,0.02786971832265243,8.110747818731841,4.09848798862537,0.32862497648613753
4.8,39,0.42,9.177365555114312,-0.781060139284159,-0.37362968066211516,0.06562788239788961,0.03037211760211026,7.812843142605912,4.218349666959769,0.29876451425400286
4.8,40,0.42,9.65744334840179,-0.616940294995223,-0.21873868910851554,0.06168902764552781,0.03431097235447209,7.3439318625628385,4.514601625588442,0.2385902303856868
4.8,41,0.42,10.469382343489114,-0.47943144284122924,-0.09477902878240523,0.05579181196030025,0.04020818803969964,6.641882376226228,5.026023504962463,0.1384874790487379
4.8,42,0.42,11.763646586249218,-0.3672653183918303,-9.235093724464758e-16,0.04800000000000004,0.04799999999999984,5.714285714285725,5.714285714285704,1.865174681370263e-15
4.8,43,0.42,13.741629091329521,-0.2764099256472437,0.07175094341315165,0.03893226741676211,0.05706773258323777,4.634793740090733,6.484969611731573,-0.1663862631876634
4.8,44,0.42,16.785767075406703,-0.2026608421490091,0.12766827381714746,0.029342014735416207,0.0666579852645837,3.4930969923114565,7.245433180933017,-0.3494273544037408
4.8,45,0.42,21.607130040449206,-0.14312712272191974,0.174553974229667,0.020323687487153085,0.07567631251284673,2.4194866056134727,7.882949220088211,-0.5303078521338549
4.8,46,0.42,29.495016176751616,-0.09616182200388469,0.21575444878421768,0.01262873470524342,0.0833712652947565,1.5034207982432652,8.337126529475658,-0.694443662903095
4.8,47,0.42,43.665947445573536,-0.05949441248529528,0.2508238067000209,0.005780397792118705,0.0902196022078812,0.6881425942998493,8.674961750757817,-0.8530097350323588
4.8,48,0.42,78.89327002165459,-0.03048695971661492,0.2795716577707092,0.0007715128985870328,0.09522848710141288,0.09184677364132092,8.817452509390085,-0.9793818187663196
4.8,49,0.42,,,,,,,,
4.8,50,0.42,,,,,,,,
4.8,51,0.42,,,,,,,,
4.8,52,0.42,,,,,,,,
4.8,53,0.42,,,,,,,,
4.8,54,0.42,,,,,,,,
4.8,55,0.42,,,,,,,,
4.8,56,0.42,,,,,,,,
4.8,57,0.42,,,,,,,,
4.8,58,0.42,,,,,,,,
4.8,59,0.42,,,,,,,,
4.8,60,0.42,,,,,,,,
4.8,61,0.42,,,,,,,,
4.8,62,0.42,,,,,,,,
4.8,63,0.42,,,,,,,,
4.8,64,0.42,,,,,,,,
4.8,65,0.42,,,,,,,,
4.8,66,0.42,,,,,,,,
4.8,67,0.42,,,,,,,,
4.8,68,0.42,,,,,,,,
4.8,69,0.42,25.00057332473529,0.09815689514736048,0.4122297482051665,0.01637999811594337,0.07962000188405655,1.9499997757075533,4.146875098127946,-0.36032809724342507
4.8,70,0.42,10.432760586496002,0.30916484645481174,0.694380628316134,0.05603950039768862,0.039960499602311225,6.671369094962937,2.0388010001179246,0.5318573626319069
5.0,21,0.42,,,,,,,,
5.0,22,0.42,9.33612742386339,-4.02928039277528,-3.624995910276009,0.06428813454882872,0.03571186545117122,7.653349351051035,89.27966362792864,-0.8420899316786801
5.0,23,0.42,10.876460630578839,-3.900326300916538,-3.5216789275098894,0.053141436000703424,0.04685856399929648,6.326361428655171,58.57320499912081,-0.8050414886609293
5.0,24,0.42,10.555236481404817,-3.7981421972005274,-3.414798598477598,0.05521676231886545,0.04478323768113447,6.573424085579223,37.319364734278835,-0.7004781759228176
