L,Nsteps,Ntot,S2_tot,V,V_offset,beta,chi,dBeta,file_mtime,interacting,lattice_geometry,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,spinful,svd,t,tp,varsigma,ymax
25,200,43,27.43849475916621,1.0,0.7390292014965839,0.5,64,0.1,1764110114.0,True,sawtooth,-0.0272784943614304,-0.0272784943614304,-0.7663076958580144,0.4599999999999999,0.4,0.5610468757693176,0.5364929145973308,-2.0,False,1e-08,1.0,1.41421356237,-0.0223718186689014,0
25,200,44,27.56166697553771,1.0,0.9823062476569672,0.5,64,0.1,1764110114.0,True,sawtooth,0.2159985517989529,0.2159985517989529,-0.7663076958580144,0.48,0.4,0.5659737644241778,0.5364929145973308,-2.0,False,1e-08,1.0,1.41421356237,-0.0267408080333208,0
25,200,45,27.64030194470318,1.0,1.2249874114827293,0.5,64,0.1,1764110114.0,True,sawtooth,0.4586797156247148,0.4586797156247148,-0.7663076958580144,0.5,0.4,0.5691191631907963,0.5364929145973308,-2.0,False,1e-08,1.0,1.41421356237,-0.0295096709315414,0
25,200,46,27.67481978655953,1.0,1.4676293925318622,0.5,64,0.1,1764110114.0,True,sawtooth,0.7013216966738479,0.7013216966738479,-0.7663076958580144,0.52,0.4,0.5704998768650504,0.5364929145973308,-2.0,False,1e-08,1.0,1.41421356237,-0.0307201298237859,0
25,200,47,27.66084965828968,1.0,1.710807714870569,0.5,64,0.1,1764110114.0,True,sawtooth,0.9445000190125544,0.9445000190125544,-0.7663076958580144,0.5399999999999999,0.4,0.5699410717342565,0.5364929145973308,-2.0,False,1e-08,1.0,1.41421356237,-0.0302305944594344,0
25,200,48,,1.0,,0.5,64,0.1,1764110114.0,True,sawtooth,,,-0.7663076958580144,0.5599999999999999,0.4,,0.5364929145973308,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,49,,1.0,,0.5,64,0.1,1764110114.0,True,sawtooth,,,-0.7663076958580144,0.58,0.4,,0.5364929145973308,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,30,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.1999999999999999,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,31,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.2199999999999999,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,32,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.24,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
