obs_wl_vac(nm)	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	S(a.u.)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"49.6682"	"49.6682"	"0.0007"	"a*"	""	""	""		"0.0000"	"201336"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).31s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6682"	"49.6682"	"0.0007"	"a*"	""	""	""		"0.0000"	"201336"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).30d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6712"	"49.6712"	"0.0007"	"a*"	""	""	""		"0.0000"	"201324"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).29d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6712"	"49.6712"	"0.0007"	"a*"	""	""	""		"0.0000"	"201324"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).30s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6738"	"49.6739"	"0.0007"	"a*"	""	""	""		"0.0000"	"201313"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).29s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6738"	"49.6739"	"0.0007"	"a*"	""	""	""		"0.0000"	"201313"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).28d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6768"	"49.6769"	"0.0007"	"a"	""	""	""		"0.0000"	"201301"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).28s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6805"	"49.6806"	"0.0007"	"a*"	""	""	""		"0.0000"	"201286"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).26d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6805"	"49.6806"	"0.0007"	"a*"	""	""	""		"0.0000"	"201286"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).27s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6845"	"49.6845"	"0.0007"	"a*"	""	""	""		"0.0000"	"201270"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).25d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6845"	"49.6845"	"0.0007"	"a*"	""	""	""		"0.0000"	"201270"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).26s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6888"	"49.6887"	"0.0007"	"a*"	""	""	""		"0.0000"	"201253"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).25s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6888"	"49.6887"	"0.0007"	"a*"	""	""	""		"0.0000"	"201253"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).24d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6941"	"49.6941"	"0.0007"	"a*"	""	""	""		"0.0000"	"201231"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).23d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6941"	"49.6941"	"0.0007"	"a*"	""	""	""		"0.0000"	"201231"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).24s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6997"	"49.6998"	"0.0007"	"a*"	""	""	""		"0.0000"	"201208"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).22d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6997"	"49.6998"	"0.0007"	"a*"	""	""	""		"0.0000"	"201208"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).23s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7067"	"49.7067"	"0.0007"	"a*"	""	""	""		"0.0000"	"201180"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).22s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7067"	"49.7067"	"0.0007"	"a*"	""	""	""		"0.0000"	"201180"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).21d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7143"	"49.7144"	"0.0007"	"a*"	""	""	""		"0.0000"	"201149"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).21s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7143"	"49.7144"	"0.0007"	"a*"	""	""	""		"0.0000"	"201149"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).20d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7236"	"49.7235"	"0.0007"	"a*"	""	""	""		"0.0000"	"201112"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).20s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7236"	"49.7235"	"0.0007"	"a*"	""	""	""		"0.0000"	"201112"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).19d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7345"	"49.7344"	"0.0007"	"a*"	""	""	""		"0.0000"	"201068"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).19s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7345"	"49.7344"	"0.0007"	"a*"	""	""	""		"0.0000"	"201068"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).18d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7478"	"49.7478"	"0.0007"	"a*"	""	""	""		"0.0000"	"201014"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).17d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7478"	"49.7478"	"0.0007"	"a*"	""	""	""		"0.0000"	"201014"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).18s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7630"	"49.7631"	"0.0007"	"a*"	""	""	""		"0.0000"	"200952"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).17s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7630"	"49.7631"	"0.0007"	"a*"	""	""	""		"0.0000"	"200952"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).16d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7823"	"49.7822"	"0.0007"	"a*"	""	""	""		"0.0000"	"200875"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).16s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.7823"	"49.7822"	"0.0007"	"a*"	""	""	""		"0.0000"	"200875"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).15d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.8068"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.8075"	"49.8075"	"0.0012"	"a*"	""	""	""		"0.0000"	"200773"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).14d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.8075"	"49.8075"	"0.0012"	"a*"	""	""	""		"0.0000"	"200773"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).15s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.8088"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.836"	"49.836"	"0.012"	"a,w*"	""	""	""		"0.0000"	"200660"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).14s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.836"	"49.836"	"0.012"	"a,w*"	""	""	""		"0.0000"	"200660"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).13d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.8373"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
