Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
51,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.5800000000000001,0.44,,0.554443538341,-2.0,1.41421356237,
52,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.6000000000000001,0.44,,0.554443538341,-2.0,1.41421356237,
30,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.15999999999999998,0.44,,0.5148785161299542,-2.0,1.41421356237,
31,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.18,0.44,,0.5148785161299542,-2.0,1.41421356237,
32,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.2,0.44,,0.5148785161299542,-2.0,1.41421356237,
33,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.22000000000000003,0.44,,0.5148785161299542,-2.0,1.41421356237,
34,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.24000000000000005,0.44,,0.5148785161299542,-2.0,1.41421356237,
35,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.25999999999999995,0.44,,0.5148785161299542,-2.0,1.41421356237,
36,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.27999999999999997,0.44,,0.5148785161299542,-2.0,1.41421356237,
37,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.3,0.44,,0.5148785161299542,-2.0,1.41421356237,
38,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.32,0.44,,0.5148785161299542,-2.0,1.41421356237,
39,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.34,0.44,,0.5148785161299542,-2.0,1.41421356237,
40,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.36000000000000004,0.44,,0.5148785161299542,-2.0,1.41421356237,
41,24.989670150069166,1.0,-0.6776239516126903,0.6,1764110114.0,-0.8687678936208497,-0.8687678936208497,-0.1911439420081594,0.37999999999999995,0.44,0.4847082898728124,0.5148785161299542,-2.0,1.41421356237,0.030182697566596604
